  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -4.250   0.0764   0.00901   0.00294  -0.1207   0.7741   0.0319
  -4.000   0.1043   0.00858   0.00269  -0.1211   0.7678   0.0684
  -3.750   0.1326   0.00817   0.00247  -0.1217   0.7624   0.1282
  -3.500   0.1611   0.00777   0.00229  -0.1222   0.7560   0.1881
  -3.250   0.1900   0.00713   0.00203  -0.1232   0.7506   0.3107
  -3.000   0.2198   0.00637   0.00183  -0.1244   0.7450   0.4781
  -2.750   0.2489   0.00632   0.00182  -0.1248   0.7401   0.5181
  -2.500   0.2784   0.00631   0.00181  -0.1251   0.7347   0.5342
  -2.250   0.3076   0.00633   0.00180  -0.1253   0.7296   0.5474
  -2.000   0.3368   0.00635   0.00180  -0.1256   0.7249   0.5570
  -1.750   0.3661   0.00636   0.00181  -0.1258   0.7194   0.5675
  -1.500   0.3953   0.00640   0.00183  -0.1261   0.7150   0.5763
  -1.250   0.4242   0.00643   0.00186  -0.1262   0.7092   0.5880
  -0.750   0.4825   0.00656   0.00194  -0.1267   0.6989   0.6073
  -0.500   0.5110   0.00657   0.00194  -0.1268   0.6932   0.6106
  -0.250   0.5399   0.00658   0.00195  -0.1270   0.6868   0.6132
   0.000   0.5685   0.00663   0.00195  -0.1271   0.6800   0.6160
   0.250   0.5974   0.00666   0.00196  -0.1274   0.6731   0.6188
   0.500   0.6256   0.00668   0.00197  -0.1274   0.6653   0.6214
   0.750   0.6536   0.00672   0.00199  -0.1275   0.6572   0.6240
   1.000   0.6819   0.00676   0.00201  -0.1276   0.6478   0.6268
   1.250   0.7100   0.00682   0.00204  -0.1277   0.6374   0.6298
   1.500   0.7376   0.00689   0.00207  -0.1276   0.6245   0.6328
   1.750   0.7644   0.00696   0.00212  -0.1274   0.6092   0.6356
   2.000   0.7907   0.00710   0.00218  -0.1272   0.5886   0.6387
   2.250   0.8159   0.00730   0.00227  -0.1267   0.5604   0.6421
   2.500   0.8400   0.00757   0.00239  -0.1261   0.5303   0.6452
   2.750   0.8630   0.00789   0.00257  -0.1252   0.4961   0.6484
   3.000   0.8868   0.00817   0.00274  -0.1246   0.4694   0.6519
   3.250   0.9115   0.00847   0.00291  -0.1241   0.4449   0.6555
   3.500   0.9352   0.00875   0.00310  -0.1234   0.4202   0.6588
   3.750   0.9594   0.00902   0.00329  -0.1229   0.3990   0.6628
   4.000   0.9834   0.00931   0.00348  -0.1223   0.3780   0.6669
   4.250   1.0075   0.00956   0.00367  -0.1217   0.3602   0.6707
   4.500   1.0319   0.00982   0.00387  -0.1212   0.3449   0.6748
   4.750   1.0559   0.01008   0.00406  -0.1207   0.3294   0.6794
   5.000   1.0804   0.01032   0.00427  -0.1202   0.3162   0.6838
   5.250   1.1046   0.01057   0.00449  -0.1197   0.3033   0.6888
   5.500   1.1281   0.01083   0.00471  -0.1190   0.2913   0.6936
   5.750   1.1513   0.01109   0.00494  -0.1183   0.2794   0.6985
   6.000   1.1740   0.01133   0.00515  -0.1175   0.2704   0.7041
   6.250   1.1959   0.01160   0.00540  -0.1166   0.2592   0.7092
   6.500   1.2175   0.01186   0.00565  -0.1156   0.2506   0.7152
   6.750   1.2386   0.01215   0.00593  -0.1145   0.2412   0.7210
   7.000   1.2606   0.01244   0.00621  -0.1136   0.2336   0.7278
   7.250   1.2823   0.01272   0.00650  -0.1127   0.2257   0.7342
   7.500   1.3036   0.01305   0.00681  -0.1118   0.2183   0.7412
   7.750   1.3240   0.01337   0.00714  -0.1107   0.2111   0.7483
   8.000   1.3454   0.01367   0.00747  -0.1098   0.2050   0.7556
   8.250   1.3649   0.01406   0.00785  -0.1085   0.1983   0.7641
   8.500   1.3862   0.01437   0.00820  -0.1077   0.1930   0.7725
   8.750   1.4046   0.01477   0.00861  -0.1063   0.1869   0.7814
   9.000   1.4247   0.01512   0.00899  -0.1052   0.1814   0.7909
   9.250   1.4438   0.01554   0.00944  -0.1041   0.1759   0.8010
   9.750   1.4811   0.01642   0.01038  -0.1017   0.1657   0.8234
  10.000   1.4991   0.01685   0.01085  -0.1004   0.1600   0.8365
  10.250   1.5167   0.01735   0.01140  -0.0991   0.1557   0.8505
  10.500   1.5341   0.01780   0.01191  -0.0977   0.1510   0.8677
  10.750   1.5485   0.01838   0.01255  -0.0959   0.1464   0.8888
  11.000   1.5636   0.01878   0.01306  -0.0941   0.1431   0.9227
  11.250   1.5743   0.01926   0.01362  -0.0916   0.1393   1.0000
  11.500   1.5904   0.01993   0.01428  -0.0904   0.1323   1.0000
  11.750   1.6048   0.02074   0.01506  -0.0891   0.1269   1.0000
  12.000   1.6221   0.02139   0.01574  -0.0881   0.1238   1.0000
  12.250   1.6348   0.02230   0.01663  -0.0866   0.1180   1.0000
  12.500   1.6515   0.02306   0.01742  -0.0857   0.1137   1.0000
  12.750   1.6643   0.02400   0.01836  -0.0844   0.1096   1.0000
  13.000   1.6787   0.02490   0.01929  -0.0833   0.1054   1.0000
  13.250   1.6903   0.02600   0.02038  -0.0819   0.1007   1.0000
  13.500   1.7042   0.02699   0.02141  -0.0809   0.0971   1.0000
  13.750   1.7136   0.02825   0.02265  -0.0795   0.0918   1.0000
  14.000   1.7259   0.02936   0.02381  -0.0784   0.0882   1.0000
  14.500   1.7454   0.03204   0.02652  -0.0761   0.0798   1.0000
  14.750   1.7521   0.03367   0.02815  -0.0748   0.0746   1.0000
  15.000   1.7601   0.03524   0.02974  -0.0737   0.0704   1.0000
  15.250   1.7670   0.03696   0.03148  -0.0726   0.0662   1.0000
  15.500   1.7721   0.03883   0.03337  -0.0715   0.0622   1.0000
  15.750   1.7785   0.04063   0.03521  -0.0705   0.0592   1.0000
  16.000   1.7812   0.04291   0.03750  -0.0696   0.0547   1.0000
  16.250   1.7844   0.04509   0.03972  -0.0686   0.0508   1.0000
  16.500   1.7852   0.04759   0.04225  -0.0678   0.0468   1.0000
  16.750   1.7843   0.05031   0.04500  -0.0670   0.0432   1.0000
  17.000   1.7849   0.05302   0.04776  -0.0664   0.0400   1.0000
  17.250   1.7820   0.05618   0.05095  -0.0660   0.0365   1.0000
  17.500   1.7773   0.05963   0.05445  -0.0656   0.0333   1.0000
  17.750   1.7716   0.06327   0.05814  -0.0654   0.0302   1.0000
  18.000   1.7645   0.06725   0.06219  -0.0655   0.0271   1.0000
